date|time|day_of_week|hour_of_day|neighborhood|key_map|district|division|serv_type|queue|wait|days|origin
10/28/16|21:20:27|5|21|SPRING BRANCH CENTRAL|450M|Spring Branch MD|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-2|WAP
8/31/16|7:36:15|3|7|NEAR NORTHSIDE|493D|Greater Northside MD|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-1|WAP
5/5/16|14:22:20|4|14|SUNNYSIDE|533T|HCID #10-A|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-3|WAP
7/29/16|11:16:18|5|11|GOLFCREST / BELLFORT / REVEILLE|574D|HCID #9|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|0|WAP
1/8/16|9:30:35|5|9|WESTWOOD|529V|Sharpstown MD|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-3|WAP
4/14/16|16:42:12|4|16|SOUTH ACRES / CRESTMONT PARK|573G|HCID #10-A|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-3|WAP
7/26/16|9:26:03|2|9|SPRING BRANCH CENTRAL|450V|Spring Branch MD|311 Call Handling|GraffitiAll|NS_Dispatch|30|5|Voice In
8/22/16|20:28:14|1|20|MIDTOWN|493U|Midtown MD|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-1|WAP
12/2/16|14:39:54|5|14|GREATER INWOOD|411T|Near Northwest MD|311 Call Handling|GraffitiAll|311_HelpLine|30|-47|Voice In
12/2/16|8:16:14|5|8|CENTRAL NORTHWEST|451B|Near Northwest MD|311 Call Handling|Unclassified 311 Web Request|311_Seniors|1|-3|WAP
5/27/16|14:43:26|5|14|LANGWOOD|450M|Spring Branch MD|Collections|Missed Garbage Pickup|SWM_CollectionsNW|4|-2|Voice In
4/28/16|11:10:14|4|11|CENTRAL SOUTHWEST|571P|Five Corners HCID #10B|Collections|Container Problem|SWM_Collections|10|-10|Voice In
7/20/16|23:09:58|3|23|NORTHSIDE/NORTHLINE|413Y|Greater Northside MD|Collections|Container Problem|SWM_CollectionsNE|10|4|WEB
8/1/16|10:40:53|1|10|SOUTH ACRES / CRESTMONT PARK|573Q|Five Corners HCID #10B|Collections|Missed Heavy Trash Pickup|SWM_CollectionsSE|7|-7|Voice In
10/7/16|14:21:44|5|14|SPRING BRANCH NORTH|450N|Spring Branch MD|Collections|Missed Garbage Pickup|SWM_CollectionsNW|4|-2|Voice In
5/31/16|10:39:51|2|10|GOLFCREST / BELLFORT / REVEILLE|534Y|HCID #9|Collections|Container Problem|SWM_CollectionsSE|10|-9|Voice In
3/23/16|17:31:44|3|17|CENTRAL SOUTHWEST|572T|Five Corners HCID #10B|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-2|Voice In
1/24/16|11:00:55|7|11|SOUTH ACRES / CRESTMONT PARK|573L|HCID #10-A|Collections|Missed Heavy Trash Pickup|SWM_CollectionsSE|7|-5|Voice In
8/29/16|14:25:42|1|14|SPRING BRANCH NORTH|449R|Spring Branch MD|Collections|Missed Yard Waste Pickup|SWM_CollectionsNW|6|-8|Voice In
1/13/16|15:49:08|3|15|HARRISBURG / MANCHESTER|535B|East End MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-3|Voice In
11/17/16|14:12:05|4|14|BRAYS OAKS|570B|HCID #5 (Brays Oaks)|Collections|Missed Garbage Pickup|SWM_CollectionsSW|4|-1|Voice In
12/6/16|18:55:08|2|18|MACGREGOR|533G|Greater Southeast MD|Collections|Missed Garbage Pickup|SWM_CollectionsSE|4|-5|Voice In
6/24/16|17:16:31|5|17|SUNNYSIDE|533U|HCID #10-A|Collections|Missed Garbage Pickup|SWM_CollectionsSE|4|-1|Voice In
8/1/16|10:51:46|1|10|NEARTOWN - MONTROSE|493N|Montrose Management District|Collections|New Resident Container|SWM_CollectionsNW|12|4|Voice In
5/18/16|12:52:16|3|12|GREATER GREENSPOINT|372K|Greater Greenspoint MD|Collections|New Resident Container|SWM_CollectionsNE|12|-1|Voice In
8/18/16|11:36:23|4|11|SOUTH PARK|534S|HCID #10-A|Collections|Container Problem|SWM_CollectionsSE|10|-5|Voice In
8/29/16|18:39:38|1|18|MAGNOLIA PARK|494V|East End MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-3|Voice In
12/7/16|12:21:41|3|12|MACGREGOR|533G|Greater Southeast MD|Collections|Missed Garbage Pickup|SWM_CollectionsSE|4|-4|Voice In
8/30/16|7:55:10|2|7|MAGNOLIA PARK|495X|East End MD|Collections|Missed Garbage Pickup|SWM_CollectionsSE|4|-6|Voice In
8/5/16|14:53:41|5|14|GREATER INWOOD|410R|Near Northwest MD|Collections|Missed Heavy Trash Pickup|SWM_CollectionsNE|7|-9|Voice In
10/18/16|14:14:42|2|14|MAGNOLIA PARK|494R|East End MD|Collections|New Resident Container|SWM_CollectionsSE|12|-11|Voice In
10/8/16|17:18:44|6|17|SECOND WARD|494T|East End MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-1|Voice In
8/31/16|19:20:13|3|19|SECOND WARD|494P|East End MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-2|Voice In
11/17/16|14:36:12|4|14|EASTEX - JENSEN AREA|414X|Greater Northside MD|Collections|Container Problem|SWM_CollectionsNE|10|-5|Voice In
4/7/16|14:53:52|4|14|LAWNDALE / WAYSIDE|535A|East End MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-3|Voice In
3/30/16|7:36:28|3|7|INDEPENDENCE HEIGHTS|453P|Greater Northside MD|Collections|Missed Garbage Pickup|SWM_CollectionsNW|4|-5|Voice In
9/28/16|9:44:43|3|9|INDEPENDENCE HEIGHTS|453P|Greater Northside MD|Collections|Container Problem|SWM_CollectionsNW|10|3|WEB
5/25/16|9:12:06|3|9|GREATER INWOOD|410R|Near Northwest MD|Collections|Missed Heavy Trash Pickup|SWM_CollectionsNE|7|-10|Voice In
6/27/16|14:50:05|1|14|SUNNYSIDE|574A|HCID #10-A|Collections|Trash Dumping or Illegal Dumpsite|SWM_CollectionsSE|29|-12|WEB
6/28/16|8:04:01|2|8|NEARTOWN - MONTROSE|492V|Montrose Management District|Collections|Missed Garbage Pickup|SWM_CollectionsNW|4|-4|Voice In
9/14/16|8:22:02|3|8|NORTHSIDE/NORTHLINE|453L|Greater Northside MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|-4|Voice In
3/18/16|16:36:18|5|16|MACGREGOR|533D|Greater Southeast MD|Collections|Dead Animal Collection|SWM_CollectionsNE|4|3|Voice In
